nctId,type,statement
NCT00772174,Exclusion,"Required to take or intends to continue taking any disallowed medication, any prescription medication, herbal treatment or over-the counter medication that may interfere with evaluation of the study medication, including: other oral antidiabetic drugs than metformin or with insulin in the 3 months preceding study entry. Fibrates Rifampicin"
NCT00762957,Exclusion,"Took any disallowed medication, prescription medication, herbal treatment or over-the counter medication that may have interfered with evaluation of the study medication, including: Insulin Oral antidiabetics including sulfonylureas and alpha-glucosidase inhibitors Systemic corticosteroids Warfarin Rifampin St. John's Wort. Thiazolidinediones Peroxisome proliferator-activated receptor agonists Nicotinic Acid Fibrates"
NCT06473662,Exclusion,"History of diabetic ketoacidosis requiring hospitalization within 6 months prior to enrolment, case of proliferative retinopathy or advanced neuropathy Subject having any of the following laboratory results at screening Estimated glomerular filtration rate (eGFR) <45 mL/min/1.73
m2 Alanine aminotransferase (ALT) and/or Aspartate aminotransferase (AST) >3 times of upper limit normal"
NCT04373265,Exclusion,"Treated with the following prior to the first dose of relacorilant: Any investigational product, systemic anticancer therapy, or radiation therapy within 21 days Antibodies or anticancer vaccines within 60 days Mifepristone or other GR antagonists within 5 half-lives of these medications Adrenostatic medications within 5 half-lives of these medications"
NCT05369065,Exclusion,"Hepatic decompensation defined as the presence of any of the following: Serum albumin less than 3.5 g/dL International normalization ratio (INR) greater than 1.4 (unless due to therapeutic anticoagulants) Total bilirubin greater than 2 mg/dL with the exception of Gilbert syndrome History of esophageal varices, ascites, or hepatic encephalopathy"
NCT01462266,Inclusion,"has one of the following criteria: diagnosed with diabetes after age 40 years and insulin therapy was initiated at least 3 years following diagnosis if diagnosed with diabetes under age 40 years or insulin started earlier than 3 years after diagnosis, has a fasting C-peptide greater than 0.7 ng/mL"
NCT03811548,Exclusion,"Any laboratory test indicators meet the following standards: fasting plasma glucose ≥ 15 mmol/L aspartate aminotransferase, alanine aminotransferase levels > 3 times the upper limit of normal (ULN); total bilirubin > 1.5 times ULN hemoglobin < 100 g/L eGFR < 60 mL/min/1.73m2 fasting triglycerides > 5.64 mmol/L (500 mg/dL)"
NCT00596427,Inclusion,"Male or Female Females of childbearing potential who are on approved birth control method: oral, injectable, or implantable hormonal contraceptives; intrauterine device; diaphragm plus spermicide or female condom plus spermicide Females of non-childbearing potential: hysterectomy, tubal ligation 6 months prior screening or post-menopausal for at least 1 year"
NCT00770835,Inclusion,"Has one or more cardiovascular comorbidities as follows: stable angina pectoris previous (greater than three months) transient ischemic attack, cerebrovascular accident or carotid atherosclerosis as assessed by bilateral carotid artery ultrasonography peripheral vascular complications documented by a history of claudication or rest pain, ultrasonography or angiography."
NCT02974816,Inclusion,"If female is of childbearing potential, is practicing one of the following methods of birth control (and will continue through the duration of the study): Condoms, sponge, diaphragm, or intrauterine device; Oral or parenteral contraceptives for 3 months prior to screening visit; Vasectomized partner; Total abstinence from sexual intercourse"
NCT02689362,Exclusion,"Concomitant use of drugs or foods that interfere with the CYP3A4 pathway of liver metabolism including, but not limited to: Inhibitors: antibacterial agents (erythromycin), antifungals (itraconazole, ketoconazole), antivirals (ritonavir, saquinavir, amprenavir, indinavir, nelfinavir), H2 receptor antagonists (cimetidine) and grapefruit juice; Inducers: dexamethasone, rifampin and anticonvulsants (phenytoin, phenobarbital, carbamazepine)"
NCT00487240,Inclusion,"As determined by the investigator, are capable and willing to do the following: perform self monitoring of blood glucose (SMBG), complete patient diaries as required for this protocol, use the insulin injection device(s) according to the instructions provided, are receptive to diabetes education, comply with the required study visits."
NCT03289494,Exclusion,General criteria: Patient under legal protection measure Patient deprived of liberty by a court or an administrative decision Patient currently participating in another study or being in the exclusion period of another study Volunteer that exceed the financial compensation allowed per year for participating in research programs
NCT01018017,Exclusion,"Renal or liver impairment, defined as: Serum creatinine level of ≥ 1.4 mg/dL for females and ≥ 1.5 mg/dL for males AST and ALT ≥ 2xULN alkaline phosphatase and bilirubin > 1.5xULN (an isolated bilirubin >1.5xULN is acceptable if bilirubin is fractionated and direct bilirubin is <35%)"
NCT01868646,Exclusion,Heart rhythm disorder: II-III atrioventricular block; sick sinus syndrome; long QT interval syndrome; complete left bundle branch block; block of 2/3 bundle branches; WPW syndrome; ventricular arrhythmia of III grade according Laun-Wolf; paroxysmal supraventricular tachycardia; paroxysmal/recurrent ventricular tachycardia; atrial flutter and fibrillation; ventricular flutter and fibrillation; heart pacemaker implant.
