nctId,type,statement
NCT05411965,Exclusion,"Those who are applicable to the following conditions in 30 days prior to the first administration: Male subjects: average alcohol intake > 21 units/week Female subjects: average alcohol intake > 14 units/week (1 unit= 50 mL of soju, 30 mL of hard liquor or 250 mL of beer) Daily average smoking of >20 cigarettes"
NCT03666546,Inclusion,"Mild functional constipation according to modified Rome IV criteria fulfilled for the last 3 months with symptom onset at least 6 months before study start defined as: approx.
3-5 bowel movements per week, of which 1-2 usually cause discomfort e.g., straining, lumpy or hard stools, sensation of incomplete evacuation or anorectal obstructions/blockage"
NCT06451757,Inclusion,"Presence of chronic fatigue (not attributable to otherwise treatable or reversible etiologies): Complaints of patient self-reported chronic fatigue for at least 3 months prior to the Screening Visit and recorded in the clinical patient files AND Presence of fatigue (raw total score >22 being a T-score >50), assessed by Neuro-QoL SFv1-F at Screening."
NCT05369065,Inclusion,Diagnosed hypertension with baseline: Office blood pressure of SBP of ≥ 140 mmHg and ≤ 180 mmHg and DBP ≥ 90 mmHg Mean 24-hour ambulatory SBP of ≥ 130 mmHg and ≤ 170 mmHg with ≥ 75% valid readings On stable oral anti-hypertension drug regimen consisting of up to a maximum of three drugs
NCT01814748,Inclusion,Participant is one of the following: Male Female who is not of reproductive potential Female of reproductive potential who agrees to remain abstinent from heterosexual activity or use (or have her partner use) 2 acceptable methods of contraception to prevent pregnancy during the study and for 21 days after the last dose of study drug
NCT00917267,Exclusion,"Have been treated for >2 weeks with any of the following excluded medications within 90 days prior to study start: Insulin Dipeptidyl peptidase (DPP)-4 inhibitors (for example, sitagliptin or vildagliptin) Pramlintide acetate Drugs that directly affect gastrointestinal motility, including, but not limited to: Reglan® (metoclopramide), Propulsid® (cisapride), and chronic macrolide antibiotics."
NCT01889667,Inclusion,Females of child-bearing potential must have a negative serum pregnancy test result at screening and a negative urine pregnancy test at Visit 3. Females of non-childbearing potential are defined as postmenopausal who: had more than 24 months since last menstrual cycle with menopausal levels of FSH; age > 55 years old; or are surgically menopausal.
NCT06419816,Inclusion,"Patients with Type 2 diabetes who are scheduled to receive initial treatment with Enavogliflozin or Enavogliflozin Extended-Release Tablets based on the attending physician's medical judgment, within the following insurance coverage ranges: Enavogliflozin monotherapy Combination therapy of Enavogliflozin with two agents (metformin) Combination therapy of Enavogliflozin with three agents (metformin + DPP-4 inhibitor)"
NCT01674348,Inclusion,"Subjects who are on a stable dose of: Metformin (up to 2.55 gm/day or maximum tolerated dose of at least 1 gm/day) and/or Sulfonylurea (glimepiride ≤ 4 mg/day, gliclazide ≤ 160 mg, glibenclamide or glyburide ≤ 10 mg and glipizide ≤ 10 mg), for ≤ 2 months prior to the screening visit."
NCT03893422,Exclusion,"Excess alcohol consumption; with an alcoholic drink defined as 12 fluid ounces of beer (5% alcohol), 5 fluid ounces of wine (12% alcohol) or 1.5 fluid ounces of 80 proof distilled spirits Women: More than 2 alcoholic drinks/day or more than 7 drinks/week Men: More than 3 alcoholic drinks/day or more than 10 drinks/week"
