nctId,type,statement
NCT01814748,Exclusion,"Has had new or worsening coronary heart disease or congestive heart failure within the past 3 months, or has any of the following disorders within the past 3 months: Acute coronary syndrome Coronary artery intervention Stroke or transient ischemic neurological disorder"
NCT06137222,Exclusion,"Index ulcer treated within the last 30 days prior to screening with a prohibited treatment or throughout the trial: Negative pressure therapies Hyperbaric Oxygen Any cellular and/or tissue-based products or wound dressings that include growth factors (e.g., EpiFix®, Regranex, Dermagraft®, Apligraf®, GraftJacket™, OASIS®, PriMatrix®)"
NCT00570739,Inclusion,"2-hour post 75 g OGTT glucose levels in the range of: greater than or equal to 200 mg/dL to be enrolled in the T2DM cohort, or greater than or equal to 140 to 200 mg/dL to be enrolled in the pre-diabetes cohort."
NCT00570739,Inclusion,"FPG levels in the range of: greater than or equal to 126 mg/dL to be enrolled in the T2DM cohort, or greater than or equal to 110 to smaller than or equal to 125 mg/dL to be enrolled in the pre-diabetes cohort."
NCT03608358,Inclusion,Inadequate glycemic control defined as below: HbA1c ≥ 8.0% and ≤ 11.5% for Stratum A and HbA1c ≥ 7.5% and ≤ 10.5% for Stratum B at screening visit HbA1c ≥ 7.0 and ≤ 10.5% for both strata at Week -2 visit
NCT00770835,Inclusion,and/or two or more of the following major cardiovascular risk factors: hypertension (blood pressure >130/80 mmHg or treatment) dyslipidemia (low-density lipoprotein-cholesterol >100 mg/dl or treatment and/or high-density lipoprotein-cholesterol <40 mg/dl in men and <45 mg/dl in women or treatment) smoking (>10 cigarettes/day)
NCT02091362,Inclusion,"In the investigator's opinion, are well motivated, capable, and willing to: Reliably administer the oral study drug once daily; Maintain a study diary; Perform self-monitored blood glucose testing; and Wear an ambulatory blood pressure monitoring device for at least 24 hours (on multiple occasions)."
NCT06161844,Exclusion,"Serologic examination: human immunodeficiency virus antibody or treponema pallidum antibody positive; hepatitis C antibody positive; hepatitis B surface antigen (HBsAg) is positive, and the quantitative test result of hepatitis B virus DNA is higher than the upper limit of the reference range;"
NCT05683392,Exclusion,For Female: Currently pregnant or planning to become pregnant during the time period of study participation A negative pregnancy test will be required for all females of child-bearing potential Counseling on appropriate birth control options will be provided to all females of child-bearing potential
NCT03895996,Inclusion,"Diagnosis of type 1 diabetes, within 12 months of first dosing, confirmed by positive lab result for one or more of the following types of autoantibodies: Glutamic acid decarboxylase (GAD65) Insulinoma associated protein 2 (IA-2, also known as ICA-512) Zinc transporter 8 (ZnT8)."
